ID,Field,latitude,longitude,year,Crop,planting_date,obs_planting_delta
ID_34.5_-91.75,Field_34.5_-91.75,34.5,-91.75,2021,Corn,4/30/2021,96
ID_34.5_-91.5,Field_34.5_-91.5,34.5,-91.5,2021,Corn,4/30/2021,96
ID_33.25_-92.0,Field_33.25_-92.0,33.25,-92,2021,Corn,4/14/2021,104
ID_33.25_-91.75,Field_33.25_-91.75,33.25,-91.75,2021,Corn,4/14/2021,105
ID_33.25_-91.5,Field_33.25_-91.5,33.25,-91.5,2021,Corn,4/14/2021,104
ID_36.25_-92.25,Field_36.25_-92.25,36.25,-92.25,2021,Corn,5/5/2021,105
ID_36.5_-92.25,Field_36.5_-92.25,36.5,-92.25,2021,Corn,5/5/2021,108
ID_36.25_-94.5,Field_36.25_-94.5,36.25,-94.5,2021,Corn,5/5/2021,105
ID_36.25_-94.25,Field_36.25_-94.25,36.25,-94.25,2021,Corn,5/5/2021,106
ID_36.25_-94.0,Field_36.25_-94.0,36.25,-94,2021,Corn,5/5/2021,106
ID_36.5_-94.5,Field_36.5_-94.5,36.5,-94.5,2021,Corn,5/4/2021,104
ID_36.5_-94.25,Field_36.5_-94.25,36.5,-94.25,2021,Corn,5/5/2021,106
ID_36.5_-94.0,Field_36.5_-94.0,36.5,-94,2021,Corn,5/5/2021,106
ID_36.25_-93.0,Field_36.25_-93.0,36.25,-93,2021,Corn,5/5/2021,110
ID_36.5_-93.0,Field_36.5_-93.0,36.5,-93,2021,Corn,5/6/2021,108
ID_33.25_-92.25,Field_33.25_-92.25,33.25,-92.25,2021,Corn,5/1/2021,99
ID_33.5_-92.25,Field_33.5_-92.25,33.5,-92.25,2021,Corn,5/2/2021,99
ID_33.5_-92.75,Field_33.5_-92.75,33.5,-92.75,2021,Corn,5/2/2021,98
ID_33.5_-92.5,Field_33.5_-92.5,33.5,-92.5,2021,Corn,5/2/2021,99
ID_36.25_-93.75,Field_36.25_-93.75,36.25,-93.75,2021,Corn,5/7/2021,110
ID_36.25_-93.5,Field_36.25_-93.5,36.25,-93.5,2021,Corn,5/7/2021,112
ID_36.25_-93.25,Field_36.25_-93.25,36.25,-93.25,2021,Corn,5/7/2021,112
ID_36.5_-93.75,Field_36.5_-93.75,36.5,-93.75,2021,Corn,5/7/2021,109
ID_36.5_-93.5,Field_36.5_-93.5,36.5,-93.5,2021,Corn,5/6/2021,109
ID_36.5_-93.25,Field_36.5_-93.25,36.5,-93.25,2021,Corn,5/6/2021,109
ID_33.25_-91.25,Field_33.25_-91.25,33.25,-91.25,2021,Corn,4/11/2021,104
ID_33.5_-91.25,Field_33.5_-91.25,33.5,-91.25,2021,Corn,4/11/2021,104
ID_33.75_-93.0,Field_33.75_-93.0,33.75,-93,2021,Corn,5/2/2021,99
ID_34.0_-93.5,Field_34.0_-93.5,34,-93.5,2021,Corn,5/3/2021,100
ID_34.0_-93.25,Field_34.0_-93.25,34,-93.25,2021,Corn,5/2/2021,100
ID_34.0_-93.0,Field_34.0_-93.0,34,-93,2021,Corn,5/2/2021,100
ID_34.25_-93.5,Field_34.25_-93.5,34.25,-93.5,2021,Corn,5/3/2021,102
ID_34.25_-93.25,Field_34.25_-93.25,34.25,-93.25,2021,Corn,5/3/2021,101
ID_36.25_-90.5,Field_36.25_-90.5,36.25,-90.5,2021,Corn,5/3/2021,101
ID_36.25_-90.25,Field_36.25_-90.25,36.25,-90.25,2021,Corn,5/3/2021,101
ID_36.5_-90.5,Field_36.5_-90.5,36.5,-90.5,2021,Corn,5/4/2021,102
ID_35.5_-92.0,Field_35.5_-92.0,35.5,-92,2021,Corn,5/4/2021,103
